ELECTION_DISTRICT,DISTRICT,TOWN,BALLOT_BOX,ELECTION_CENTRE,CENTRE,PARTY,VOTES
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΣΠΑΡΟΣ ΦΟΙΒΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,002,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Β,ΧΡΙΣΤΟΔΟΥΛΟΥ ΧΡΙΣΤΟΔΟΥΛΟΣ,0
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΑΚΕΛ (ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ),22
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΑΛΛΑΓΗ ΓΕΝΙΑΣ,12
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΑΛΛΗΛΕΓΓΥΗ,6
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΑΜΜΟΧΩΣΤΟΣ ΓΙΑ ΤΗΝ ΚΥΠΡΟ,10
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΑΦΥΠΝΙΣΗ -2020-,4
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΔΗΜΟΚΡΑΤΙΚΗ ΠΑΡΑΤΑΞΗ,7
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ,44
ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΩΣΙΑ,003,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΕΝΤΡΟ Γ,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ,86
